"分运单号(文本型)
（必填）",取出包裹
3338000047517,3338000047543
3338000047518,3338000047544
3338000047519,3338000047545
3338000047520,3338000047546
3338000047521,
3338000047522,
3338000047523,
3338000047524,
3338000047525,
3338000047526,
3338000047527,
3338000047528,
3338000047529,
3338000047530,
3338000047531,
3338000047532,
3338000047533,
3338000047534,
3338000047535,
3338000047536,
3338000047537,
3338000047538,
3338000047539,
3338000047540,
3338000047541,
3338000047542,
3338000047543,
3338000047544,
3338000047545,
3338000047546,
